GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
8,0,0,10,-10,1.0153,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,20,-20,1.0205,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,20,-20,1.001,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,25,-25,0.9583,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,35,12,0.9632,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
84,375,0,240,-240,1.025,100,1,475,0,0,0,0,0,0,0,0,0,0,0,0
91,155,0,96,-11,1.052,100,1,255,0,0,0,0,0,0,0,0,0,0,0,0
92,290,0,153,-153,1.052,100,1,390,0,0,0,0,0,0,0,0,0,0,0,0
98,68,0,56,-30,1,100,1,168,0,0,0,0,0,0,0,0,0,0,0,0
108,117,0,77,-24,0.99,100,1,217,0,0,0,0,0,0,0,0,0,0,0,0
119,1930,0,1500,-500,1.0435,100,1,2030,0,0,0,0,0,0,0,0,0,0,0,0
124,240,0,120,-60,1.0233,100,1,340,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,200,-25,1.0103,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,350,-125,1.055,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
141,281,0,75,-50,1.051,100,1,381,0,0,0,0,0,0,0,0,0,0,0,0
143,696,0,300,-100,1.0435,100,1,796,0,0,0,0,0,0,0,0,0,0,0,0
146,84,0,35,-15,1.0528,100,1,184,0,0,0,0,0,0,0,0,0,0,0,0
147,217,0,100,-50,1.0528,100,1,317,0,0,0,0,0,0,0,0,0,0,0,0
149,103,0,50,-25,1.0735,100,1,203,0,0,0,0,0,0,0,0,0,0,0,0
152,372,0,175,-50,1.0535,100,1,472,0,0,0,0,0,0,0,0,0,0,0,0
153,216,0,90,-50,1.0435,100,1,316,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,15,-10,0.963,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
170,205,0,90,-40,0.929,100,1,305,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,150,-50,0.9829,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
176,228,0,90,-45,1.0522,100,1,328,0,0,0,0,0,0,0,0,0,0,0,0
177,84,0,35,-15,1.0077,100,1,184,0,0,0,0,0,0,0,0,0,0,0,0
185,200,0,80,-50,1.0522,100,1,300,0,0,0,0,0,0,0,0,0,0,0,0
186,1200,0,400,-100,1.065,100,1,1300,0,0,0,0,0,0,0,0,0,0,0,0
187,1200,0,400,-100,1.065,100,1,1300,0,0,0,0,0,0,0,0,0,0,0,0
190,475,0,300,-300,1.0551,100,1,575,0,0,0,0,0,0,0,0,0,0,0,0
191,1973,0,1000,-1000,1.0435,100,1,2073,0,0,0,0,0,0,0,0,0,0,0,0
198,424,0,260,-260,1.015,100,1,524,0,0,0,0,0,0,0,0,0,0,0,0
213,272,0,150,-150,1.01,100,1,372,0,0,0,0,0,0,0,0,0,0,0,0
220,100,0,60,-60,1.008,100,1,200,0,0,0,0,0,0,0,0,0,0,0,0
221,450,0,320,-320,1,100,1,550,0,0,0,0,0,0,0,0,0,0,0,0
222,250,0,300,-300,1.05,100,1,350,0,0,0,0,0,0,0,0,0,0,0,0
227,303,0,300,-300,1,100,1,403,0,0,0,0,0,0,0,0,0,0,0,0
230,345,0,250,-250,1.04,100,1,445,0,0,0,0,0,0,0,0,0,0,0,0
233,300,0,500,-500,1,100,1,400,0,0,0,0,0,0,0,0,0,0,0,0
236,600,0,300,-300,1.0165,100,1,700,0,0,0,0,0,0,0,0,0,0,0,0
238,250,0,200,-200,1.01,100,1,350,0,0,0,0,0,0,0,0,0,0,0,0
239,550,0,400,-400,1,100,1,650,0,0,0,0,0,0,0,0,0,0,0,0
241,575.43,0,600,-600,1.05,100,1,675.43,0,0,0,0,0,0,0,0,0,0,0,0
242,170,0,100,40,0.993,100,1,270,0,0,0,0,0,0,0,0,0,0,0,0
243,84,0,80,40,1.01,100,1,184,0,0,0,0,0,0,0,0,0,0,0,0
7001,467,0,210,-210,1.0507,100,1,567,0,0,0,0,0,0,0,0,0,0,0,0
7002,623,0,280,-280,1.0507,100,1,723,0,0,0,0,0,0,0,0,0,0,0,0
7003,1210,0,420,-420,1.0323,100,1,1310,0,0,0,0,0,0,0,0,0,0,0,0
7011,234,0,100,-100,1.0145,100,1,334,0,0,0,0,0,0,0,0,0,0,0,0
7012,372,0,224,-224,1.0507,100,1,472,0,0,0,0,0,0,0,0,0,0,0,0
7017,330,0,350,0,1.0507,100,1,430,0,0,0,0,0,0,0,0,0,0,0,0
7023,185,0,120,0,1.0507,100,1,285,0,0,0,0,0,0,0,0,0,0,0,0
7024,410,0,224,-224,1.029,100,1,510,0,0,0,0,0,0,0,0,0,0,0,0
7039,500,0,200,-200,1.05,100,1,600,0,0,0,0,0,0,0,0,0,0,0,0
7044,37,0,42,0,1.0145,100,1,137,0,0,0,0,0,0,0,0,0,0,0,0
7049,47.72,0,10,0,1.0507,100,1,2399.005,0,0,0,0,0,0,0,0,0,0,0,0
7055,45,0,25,0,0.9967,100,1,145,0,0,0,0,0,0,0,0,0,0,0,0
7057,165,0,90,-90,1.0212,100,1,265,0,0,0,0,0,0,0,0,0,0,0,0
7061,400,0,150,-150,1.0145,100,1,500,0,0,0,0,0,0,0,0,0,0,0,0
7062,400,0,150,0,1.0017,100,1,500,0,0,0,0,0,0,0,0,0,0,0,0
7071,116,0,87,0,0.9893,100,1,216,0,0,0,0,0,0,0,0,0,0,0,0
7130,1292,0,600,-100,1.0507,100,1,1392,0,0,0,0,0,0,0,0,0,0,0,0
7139,700,0,325,-125,1.0507,100,1,800,0,0,0,0,0,0,0,0,0,0,0,0
7166,553,0,300,-200,1.0145,100,1,653,0,0,0,0,0,0,0,0,0,0,0,0
9002,0,0,2,-2,0.9945,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
9051,0,0,17.35,-17.35,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
9053,0,0,12.83,-12.8,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
9054,50,0,38,-38,1,100,1,150,0,0,0,0,0,0,0,0,0,0,0,0
9055,8,0,6,-6,1,100,1,108,0,0,0,0,0,0,0,0,0,0,0,0
