MODEL,STARTUP,SHUTDOWN,NCOST,C2,C1,C0
2,0,0,3,0.01,40,0
2,0,0,3,0.01,40,0
2,0,0,3,0.01,40,0
2,0,0,3,0.01,40,0
2,0,0,3,0.01,40,0
2,0,0,3,0.0266666667,20,0
2,0,0,3,0.064516129,20,0
2,0,0,3,0.0344827586,20,0
2,0,0,3,0.147058824,20,0
2,0,0,3,0.0854700855,20,0
2,0,0,3,0.00518134715,20,0
2,0,0,3,0.0416666667,20,0
2,0,0,3,0.01,40,0
2,0,0,3,0.01,40,0
2,0,0,3,0.0355871886,20,0
2,0,0,3,0.0143678161,20,0
2,0,0,3,0.119047619,20,0
2,0,0,3,0.0460829493,20,0
2,0,0,3,0.0970873786,20,0
2,0,0,3,0.0268817204,20,0
2,0,0,3,0.0462962963,20,0
2,0,0,3,0.01,40,0
2,0,0,3,0.0487804878,20,0
2,0,0,3,0.01,40,0
2,0,0,3,0.0438596491,20,0
2,0,0,3,0.119047619,20,0
2,0,0,3,0.05,20,0
2,0,0,3,0.00833333333,20,0
2,0,0,3,0.00833333333,20,0
2,0,0,3,0.0210526316,20,0
2,0,0,3,0.00506842372,20,0
2,0,0,3,0.0235849057,20,0
2,0,0,3,0.0367647059,20,0
2,0,0,3,0.1,20,0
2,0,0,3,0.0222222222,20,0
2,0,0,3,0.04,20,0
2,0,0,3,0.0330033003,20,0
2,0,0,3,0.0289855072,20,0
2,0,0,3,0.0333333333,20,0
2,0,0,3,0.0166666667,20,0
2,0,0,3,0.04,20,0
2,0,0,3,0.0181818182,20,0
2,0,0,3,0.0173783084,20,0
2,0,0,3,0.0588235294,20,0
2,0,0,3,0.119047619,20,0
2,0,0,3,0.0214132762,20,0
2,0,0,3,0.0160513644,20,0
2,0,0,3,0.00826446281,20,0
2,0,0,3,0.0427350427,20,0
2,0,0,3,0.0268817204,20,0
2,0,0,3,0.0303030303,20,0
2,0,0,3,0.0540540541,20,0
2,0,0,3,0.0243902439,20,0
2,0,0,3,0.02,20,0
2,0,0,3,0.27027027,20,0
2,0,0,3,0.01,40,0
2,0,0,3,0.222222222,20,0
2,0,0,3,0.0606060606,20,0
2,0,0,3,0.025,20,0
2,0,0,3,0.025,20,0
2,0,0,3,0.0862068966,20,0
2,0,0,3,0.00773993808,20,0
2,0,0,3,0.0142857143,20,0
2,0,0,3,0.0180831826,20,0
2,0,0,3,0.01,40,0
2,0,0,3,0.01,40,0
2,0,0,3,0.01,40,0
2,0,0,3,0.2,20,0
2,0,0,3,1.25,20,0
